DIM1	DIM2	type	viroid	class	train_label	pred_label
-1.26827750548863	-2.65947983455226	unknown	AF369530.1	1	unknown	severe
-4.09610353272038	-4.98887915380107	unknown	AF458986.1	1	unknown	severe
-4.22862668174288	-4.92119371679664	unknown	AF458987.1	1	unknown	severe
-4.19053842756191	-4.95310828223613	unknown	AF458988.1	1	unknown	severe
-4.43070604403458	-4.8165562295239	unknown	AF458989.1	1	unknown	severe
-4.19913728808978	-4.76614669327956	unknown	AF458990.1	1	unknown	severe
-4.4083949820355	-4.90330212508364	unknown	AF458991.1	1	unknown	severe
-4.39319628324366	-4.75422630107368	unknown	AF458992.1	1	unknown	severe
-4.18431073559855	-5.15833062614692	unknown	AF458993.1	1	unknown	severe
-3.96689914205414	-4.13253514813986	unknown	AF458995.1	1	unknown	severe
-4.37452829870273	-4.8810987407945	unknown	AF458997.1	1	unknown	severe
-4.35135933895975	-5.16037961152615	unknown	AF459005.1	1	unknown	severe
-4.51148082383817	-4.75589275001459	unknown	AF459006.1	1	unknown	severe
-4.13143843832245	-4.91474359434078	unknown	AF459007.1	1	unknown	severe
-5.50976397683612	-1.84822722793303	unknown	AF483472.1	1	unknown	severe
-5.56062602835035	-1.71455175053736	unknown	AF483473.1	1	unknown	severe
-0.897181453112051	-2.79212921403707	unknown	AJ583449.1	1	unknown	severe
-3.35274646431391	-4.05824938247448	severe	AJ634596.1	1	unknown	severe
-4.29538165041073	-5.00258336556548	unknown	AY152840.1	1	unknown	severe
-4.22506490614589	-4.77712840082044	unknown	AY152841.1	1	unknown	severe
-3.03893786873873	-2.36697396706181	unknown	AY360446.1	1	unknown	severe
-5.06726476677364	-1.49797200611448	unknown	AY372394.1	1	unknown	severe
-1.16080400062737	-2.64547963762011	unknown	AY372397.1	1	unknown	severe
1.78201125820167	-7.01852690239058	unknown	AY372398.1	1	unknown	severe
-5.61607984133654	-1.67874859396841	unknown	AY372400.1	1	unknown	severe
-3.41797475358205	-4.15288977033566	severe	AY518939.1	1	unknown	severe
-4.08031066922764	-4.52926547765086	unknown	AY518940.1	1	unknown	severe
-1.18199589036687	-2.76984683068105	unknown	AY532801.1	1	unknown	severe
-3.26582644870764	-3.04455567896451	unknown	AY673974.1	1	unknown	severe
-4.4301661534574	-4.89574861644939	unknown	DD220185.1	1	unknown	severe
-3.60515541716296	-2.05793528307822	unknown	DQ308555.1	1	unknown	severe
-0.958276334538459	-2.42107028226043	unknown	DQ308556.1	1	unknown	severe
-5.38368617630194	-1.67180149573228	unknown	DQ308557.1	1	unknown	severe
1.29836263053912	-4.22874448470907	unknown	DQ315388.1	1	unknown	severe
1.90714881397708	-7.20003815353922	unknown	EF192393.1	1	unknown	severe
1.4252433860367	-4.76999240619322	unknown	EF192394.1	1	unknown	severe
2.10519411674129	-6.7590201547906	unknown	EF459697.1	1	unknown	severe
2.01411345324929	-6.99981252532631	unknown	EF459698.1	1	unknown	severe
2.18538127987497	-6.96883184093111	unknown	EF459699.1	1	unknown	severe
2.11550122012734	-7.08286607829406	unknown	EF459701.1	1	unknown	severe
2.10015477878807	-7.28599364984748	unknown	EF580923.1	1	unknown	severe
-0.832473641555532	-2.68377430242183	unknown	EU862230.1	1	unknown	severe
-1.19464591278462	-2.62760258770466	unknown	FJ797614.1	1	unknown	severe
-2.93546160595137	-3.08126163983047	unknown	FJ872824.1	1	unknown	severe
2.11871034786412	-6.91323299103801	unknown	FJ872825.1	1	unknown	severe
1.26302769081586	-4.47546387409802	unknown	FM998543.1	1	unknown	severe
1.26765488079022	-4.55320756934747	unknown	FM998544.1	1	unknown	severe
1.39314827691616	-4.70744913233607	unknown	FM998545.1	1	unknown	severe
1.42346660140088	-5.07828171425412	unknown	FM998546.1	1	unknown	severe
1.5210472765662	-4.91131224981371	unknown	FM998547.1	1	unknown	severe
1.52196784767737	-4.88232174285407	unknown	FM998548.1	1	unknown	severe
1.5149917417769	-4.89957216865036	unknown	FM998549.1	1	unknown	severe
1.75355416746626	-7.10327691419652	unknown	FM998550.1	1	unknown	severe
2.18277737471819	-7.03813746663333	unknown	FM998551.1	1	unknown	severe
0.859575329040526	-4.23289292960976	severe	FR851463.1	1	severe	severe
-2.99910437984041	-1.05689338406502	unknown	GQ853457.1	1	unknown	severe
-3.02950455501488	-1.08390822442717	unknown	GQ853458.1	1	unknown	severe
-2.95534292573342	-1.01857617905054	unknown	GQ853459.1	1	unknown	severe
-3.49144771641199	-2.204501632336	unknown	GQ853460.1	1	unknown	severe
-3.37232083414039	-1.77108186914305	moderate	GQ853461.1	1	moderate	severe
