DIM1	DIM2	type	viroid	class	train_label	pred_label
-3.86218991775078	-1.90377421029728	unknown	AB623143.1	1	unknown	mild
-9.62144217748504	-3.82027738530064	unknown	AY372398.1	1	unknown	mild
-12.7356098926238	-7.15672890031062	mild	EF192393.1	1	mild	mild
-12.4771676571116	-6.65356291755022	mild	EF192394.1	1	unknown	mild
-12.6792603856363	-7.08932927743545	unknown	EF459697.1	1	unknown	mild
-12.5298985679746	-6.92532973972017	unknown	EF459698.1	1	unknown	mild
-12.4772175816451	-7.12071496141811	unknown	EF459699.1	1	unknown	mild
-12.6066506963337	-7.01325465937306	unknown	EF459701.1	1	unknown	mild
-12.7446981230582	-7.0144786977869	mild	EF580923.1	1	unknown	mild
-12.7386190504089	-7.17238030452875	unknown	FJ872824.1	1	unknown	mild
-12.4521597919589	-6.87631223378704	unknown	FJ872825.1	1	unknown	mild
-9.86426669529909	-3.93697489989355	unknown	FM998543.1	1	unknown	mild
-9.92435828470207	-3.94091494699448	unknown	FM998544.1	1	unknown	mild
-9.83521042674539	-3.95822460713124	unknown	FM998545.1	1	unknown	mild
-12.4958610403409	-6.61354264524946	unknown	FM998546.1	1	unknown	mild
-12.7343235596622	-6.75762510495626	unknown	FM998547.1	1	unknown	mild
-12.7891925203943	-6.99253680153144	unknown	FM998548.1	1	unknown	mild
-12.4576888861083	-6.49583028963341	unknown	FM998549.1	1	unknown	mild
-9.67924088308876	-3.77187599174473	unknown	FM998550.1	1	unknown	mild
-12.5943133179069	-7.11006730353894	unknown	FM998551.1	1	unknown	mild
-10.038307904729	-4.195323835955	unknown	HQ452399.1	1	unknown	mild
-10.1991973894432	-4.28538258164352	unknown	HQ452400.1	1	unknown	mild
-10.2073368887772	-4.28459542643831	unknown	HQ452401.1	1	unknown	mild
-6.67259273710681	-3.31087001345896	unknown	HQ452403.1	1	unknown	mild
-10.145585860757	-4.237750408566	unknown	HQ452404.1	1	unknown	mild
-10.0452975586734	-4.14275526517652	unknown	HQ452405.1	1	unknown	mild
-6.80216808952255	-3.44006839309995	unknown	HQ452406.1	1	unknown	mild
-6.86246357240966	-3.49795497217352	unknown	HQ452407.1	1	unknown	mild
-6.82799451422549	-3.46520805399258	unknown	HQ452408.1	1	unknown	mild
-6.76565000379417	-3.43045203889051	unknown	HQ452413.1	1	unknown	mild
-6.84835629128786	-3.49034776400764	unknown	HQ452414.1	1	unknown	mild
-6.86714215676732	-3.50620956656198	unknown	HQ452415.1	1	unknown	mild
-6.74412184194964	-3.38063729693025	unknown	HQ452416.1	1	unknown	mild
-11.8518280063395	-6.68105631398197	unknown	HQ454919.1	1	unknown	mild
-12.118619887275	-6.88701234973479	unknown	HQ454920.1	1	unknown	mild
-11.8368296625311	-6.64304753574356	unknown	HQ454921.1	1	unknown	mild
-11.8146110686054	-6.67370672476373	unknown	HQ454922.1	1	unknown	mild
-12.3022414071039	-6.92925306681897	unknown	HQ454923.1	1	unknown	mild
-12.6261983572301	-7.17882867957264	unknown	HQ454924.1	1	unknown	mild
-11.8350444257256	-6.69138342110886	unknown	HQ454925.1	1	unknown	mild
-12.643255882482	-7.00215113462179	unknown	HQ454926.1	1	unknown	mild
-9.50566095890395	-3.77527386808599	unknown	HQ454927.1	1	unknown	mild
-12.4859633996918	-7.27725461636952	unknown	HQ454928.1	1	unknown	mild
-9.68752884574565	-3.85853053609157	unknown	HQ454929.1	1	unknown	mild
-9.64891535231941	-3.8417219941332	unknown	HQ454930.1	1	unknown	mild
-9.75342172709031	-3.89599716835259	unknown	HQ454931.1	1	unknown	mild
-9.59880305115242	-3.63099614535428	unknown	HQ454932.1	1	unknown	mild
-12.8876956976715	-7.25303038347983	unknown	HQ454937.1	1	unknown	mild
-12.4816617598624	-7.14353565918046	unknown	HQ456944.1	1	unknown	mild
-9.9390900889463	-3.98989780957654	unknown	KC810008.1	1	unknown	mild
-9.97746159581584	-3.91461257625501	unknown	KC810009.1	1	unknown	mild
-9.5090130485496	-3.6794617425644	mild	KF418767.1	1	mild	mild
-12.5963882752906	-7.14519926857147	unknown	KF418768.1	1	unknown	mild
-3.61304756002492	-1.66142395810788	mild	KT987925.1	1	mild	mild
-3.97086086168966	-2.01146540886628	mild	LC388852.1	1	unknown	mild
-3.93976129514758	-1.97702470676355	mild	LC388854.1	1	mild	mild
-3.99653005725431	-2.03119422022396	unknown	LC388855.1	1	unknown	mild
-3.86975357841115	-1.91266842188051	unknown	LC388856.1	1	unknown	mild
-3.83881780182213	-1.88163137514668	unknown	LC388857.1	1	unknown	mild
-3.92257784104884	-1.96736700205221	unknown	LC388858.1	1	unknown	mild
-3.85884539603081	-1.90282046548555	unknown	LC388859.1	1	unknown	mild
-3.84918885627886	-1.89979048293642	unknown	LC388860.1	1	unknown	mild
-3.80142341940208	-1.84606950786131	unknown	LC388861.1	1	unknown	mild
-3.85840898832003	-1.90355914518576	unknown	LC388862.1	1	unknown	mild
0.342250355690697	-0.00974800443424728	unknown	AF369530.1	2	unknown	severe
2.43059808579656	6.6079911784739	unknown	AF458986.1	2	unknown	severe
2.44093498120679	6.80499481734127	unknown	AF458987.1	2	unknown	severe
2.31758084343967	6.76655593683325	unknown	AF458988.1	2	unknown	severe
2.46235173951795	6.72256922101128	unknown	AF458989.1	2	unknown	severe
2.41943959349792	6.82593770081572	unknown	AF458990.1	2	unknown	severe
2.550423712955	6.85612802089629	unknown	AF458991.1	2	unknown	severe
2.41761796249265	6.88628631955923	unknown	AF458992.1	2	unknown	severe
2.52851984899842	6.85062984168685	unknown	AF458993.1	2	unknown	severe
2.8363784533074	6.96543070446088	unknown	AF458994.1	2	unknown	severe
2.99038313169599	5.8642282195537	unknown	AF458995.1	2	unknown	severe
3.01279218858812	1.84334045972494	unknown	AF458996.1	2	unknown	severe
2.2904406548343	6.77949860347566	unknown	AF458997.1	2	unknown	severe
6.20604267622953	2.6368715434977	unknown	AF458998.1	2	unknown	severe
3.04413875447552	5.79475203101506	unknown	AF458999.1	2	unknown	severe
6.11667782517018	2.72806580893997	unknown	AF459000.1	2	unknown	severe
6.06237840684306	2.70945233698863	unknown	AF459001.1	2	unknown	severe
6.12048427480258	2.76557488132925	unknown	AF459002.1	2	unknown	severe
2.64525254118665	6.83548880292364	unknown	AF459005.1	2	unknown	severe
2.56704634111202	6.92272558942335	unknown	AF459006.1	2	unknown	severe
2.66753442282586	7.13845065350773	unknown	AF459007.1	2	unknown	severe
2.91833927058767	1.60762713461185	mild	AF483470.1	2	unknown	severe
2.58698156811972	1.2637398548622	unknown	AF483471.1	2	unknown	severe
0.283780239519957	0.236651578146153	unknown	AJ583449.1	2	unknown	severe
4.87932221444341	1.60653570195029	severe	AJ634596.1	2	unknown	severe
2.26625293208019	6.51098372618614	unknown	AY152840.1	2	unknown	severe
2.19081200676031	6.41677318421834	unknown	AY152841.1	2	unknown	severe
1.78046936346464	0.477425208003325	unknown	AY360446.1	2	unknown	severe
0.235329194689212	0.0392844168573823	unknown	AY372397.1	2	unknown	severe
3.30943121320094	1.02264010824114	unknown	AY493560.1	2	unknown	severe
4.83069388704967	1.64043705701817	severe	AY518939.1	2	unknown	severe
2.90634408045065	5.95166518897383	unknown	AY518940.1	2	unknown	severe
0.288752791826302	0.0668676114668547	severe	AY532801.1	2	severe	severe
3.39880431222264	1.72142909771831	unknown	AY673974.1	2	unknown	severe
2.47466289369343	6.74719799013655	severe	DD220185.1	2	severe	severe
0.39403210888051	0.226498447246025	unknown	DQ308556.1	2	unknown	severe
6.07084420584582	2.71294595131225	unknown	DQ308558.1	2	unknown	severe
2.35684133971735	1.24530914441193	unknown	DQ308560.1	2	unknown	severe
2.39330869708873	0.631584986330816	unknown	DQ315388.1	2	unknown	severe
0.203372576337144	0.0482315890216998	unknown	EU862230.1	2	unknown	severe
2.89143447750628	1.85552509542965	unknown	EU879918.1	2	unknown	severe
2.34935289399893	1.69335448909197	unknown	EU879919.1	2	unknown	severe
2.55514415720605	2.09866846051925	unknown	EU879923.1	2	unknown	severe
2.889253096249	1.62997756926363	unknown	EU879926.1	2	unknown	severe
0.102124416455898	-0.0929368010344538	unknown	FJ797614.1	2	unknown	severe
3.29223667575013	-1.57176823876779	severe	FR851463.1	2	severe	severe
